url,clicks,impressions,ctr,position
https://sweetsworld.com.au/candy/american-candy/888109110109/,1,16,0.0625,6.9
https://sweetsworld.com.au/candy/american-candy/american-chocolate/harry-potter-chocolate-frog-15g/,1,28,0.0357,28.5
https://sweetsworld.com.au/candy/american-candy/giantcampfiremarshmallow340g/,1,1,1.0000,5.0
https://sweetsworld.com.au/candy/american-candy/hubbabubbabubbletapeoriginal56g/,1,5,0.2000,33.4
https://sweetsworld.com.au/candy/big-lolly-licorice-allsorts-850g/,1,5,0.2000,5.4
https://sweetsworld.com.au/candy/bodylicious-edible-body-paint-pens-260g/,1,42,0.0238,11.8
https://sweetsworld.com.au/candy/boxedcaramelmarshmallows230g/,1,2,0.5000,13.5
https://sweetsworld.com.au/candy/campfire-giant-marshmallows-340g/,1,5,0.2000,13.6
https://sweetsworld.com.au/candy/candy-showcase-swirly-pop-12g/,1,15,0.0667,4.7
https://sweetsworld.com.au/candy/conversation-heart/,1,1,1.0000,1.0
https://sweetsworld.com.au/candy/dutch-sweets/steenland-chocolate-happy-birthday-day-medallion-125mm-with-ribbon/,1,7,0.1429,14.4
https://sweetsworld.com.au/candy/gustafs-grape-laces-907g/,1,2,0.5000,8.0
https://sweetsworld.com.au/candy/hi-chewmango57g/,1,1,1.0000,2.0
https://sweetsworld.com.au/candy/jelly-belly-sizzling-cinnamon-99g/,1,3,0.3333,5.3
https://sweetsworld.com.au/candy/kapri-peel-gummy-mango-73g/,1,17,0.0588,8.0
https://sweetsworld.com.au/candy/lolliland-watermelon-clouds-1kg/,1,6,0.1667,2.7
https://sweetsworld.com.au/candy/lollinaut-strap-peach-160g/,1,1,1.0000,9.0
https://sweetsworld.com.au/candy/lotus-biscoff-topping-1l/,1,50,0.0200,10.9
https://sweetsworld.com.au/candy/milk-chocolate-gold-coins-65g-gluten-free/,1,110,0.0091,15.0
https://sweetsworld.com.au/candy/mmscaramel40g/,1,5,0.2000,8.6
https://sweetsworld.com.au/candy/mmspeanutbuttersharingsize802g-2/,1,3,0.3333,5.0
https://sweetsworld.com.au/candy/nerds-gummy-clusters-very-berry-family-size-524g/,1,3,0.3333,4.7
https://sweetsworld.com.au/candy/nz-sweets-peppermint-cream-bar-50g/?add-to-cart=12622,1,1,1.0000,2.0
https://sweetsworld.com.au/candy/old-fashion-lollies/assortedrock100g/,1,2,0.5000,2.5
https://sweetsworld.com.au/candy/old-fashion-lollies/boiled-lolly-fish/,1,30,0.0333,5.0
https://sweetsworld.com.au/candy/old-fashion-lollies/musk-sticks-60g-bag-kanga/,1,66,0.0152,11.6
https://sweetsworld.com.au/candy/old-fashion-lollies/nestle-golden-rough/,1,287,0.0035,1.7
https://sweetsworld.com.au/candy/old-fashion-lollies/roasted-marshmallows-180g/,1,15,0.0667,3.3
https://sweetsworld.com.au/candy/old-fashion-lollies/rockcandyredbackbopeep170g/,1,2,0.5000,1.0
https://sweetsworld.com.au/candy/old-fashion-lollies/spearmint-pencils-70g/?add-to-cart=13370,1,3,0.3333,7.7
https://sweetsworld.com.au/candy/peeps-3pk-stockings-42g/?add-to-cart=13346,1,3,0.3333,11.0
https://sweetsworld.com.au/candy/peppermint-peckers-mints-30g/,1,7,0.1429,8.4
https://sweetsworld.com.au/candy/pink-lady-foiled-bilby/,1,95,0.0105,7.1
https://sweetsworld.com.au/candy/pink-lady-mini-bunny-solid-wrapped-15g-single/,1,7,0.1429,4.7
https://sweetsworld.com.au/candy/rainbowtubemarshmallow150g/,1,1,1.0000,7.0
https://sweetsworld.com.au/candy/savage-gummy-bears-18/,1,5,0.2000,3.8
https://sweetsworld.com.au/candy/silky-gem-crystal-candy-sour-bites-6oz/,1,6,0.1667,3.2
https://sweetsworld.com.au/candy/sonic-surprise-egg/,1,36,0.0278,7.4
https://sweetsworld.com.au/candy/sour-lollies/easy-cheese-american-226g/,1,10,0.1000,3.1
https://sweetsworld.com.au/candy/sour-lollies/fairy-floss-50g/,1,84,0.0119,11.2
https://sweetsworld.com.au/candy/sour-lollies/fini-rainb-sour-pencil-100g/,1,3,0.3333,6.0
https://sweetsworld.com.au/candy/sour-lollies/juicy-drop-gum-22g/,1,6,0.1667,14.3
https://sweetsworld.com.au/candy/sour-lollies/lucas-muecas-mango/,1,28,0.0357,8.0
https://sweetsworld.com.au/candy/sour-lollies/nintendo-super-star-sour/,1,5,0.2000,5.6
https://sweetsworld.com.au/candy/sour-lollies/rainbow-sour-mix-1kg/,1,2,0.5000,1.5
https://sweetsworld.com.au/candy/sour-lollies/silky-gem-crystal-candy-sour-bites-6oz/,1,93,0.0108,7.8
https://sweetsworld.com.au/candy/sour-lollies/sour-blue-raspberry-laces-100g/,1,1,1.0000,2.0
https://sweetsworld.com.au/candy/sour-lollies/sour-strawberry-laces-100g/,1,9,0.1111,5.2
https://sweetsworld.com.au/candy/stoner-mints-425g/,1,21,0.0476,6.9
https://sweetsworld.com.au/candy/sweet-william-bubble-gum-egg-140g/,1,45,0.0222,5.9
https://sweetsworld.com.au/candy/sweetworld-rocket-4-9g/,1,32,0.0312,10.9
https://sweetsworld.com.au/candy/swizzels-love-hearts-sherbet-flavour-slush-pouch-250ml/,1,17,0.0588,5.6
https://sweetsworld.com.au/candy/trollibulkoctopus2kg/,1,1,1.0000,10.0
https://sweetsworld.com.au/candy/vidal-gummi-pizza-1kg/,1,15,0.0667,13.1
https://sweetsworld.com.au/candy/whitechocolateraspberrybullets150g/,1,3,0.3333,12.7
https://sweetsworld.com.au/candy/wonka-everlasting-gobstopper/,1,45,0.0222,8.4
https://sweetsworld.com.au/candy/zainiboerocherryliquorchocolates187g/,1,5,0.2000,1.6
https://sweetsworld.com.au/chocolate/australian-chocolate/chocol6pkenchantingeggselection150g/,1,25,0.0400,5.4
https://sweetsworld.com.au/chocolate/australian-chocolate/dark-chocolate-bilby-200g/,1,55,0.0182,7.3
https://sweetsworld.com.au/chocolate/australian-chocolate/darrell-lea-caramel-snow/,1,55,0.0182,5.5
