url,clicks,impressions,ctr,position
https://sweetsworld.com.au/candy/nerds-gummy-clusters-very-berry-family-size-524g/,1,3,0.3333,4.7
https://sweetsworld.com.au/candy/nz-sweets-peppermint-cream-bar-50g/?add-to-cart=12622,1,1,1.0000,2.0
https://sweetsworld.com.au/candy/old-fashion-lollies/assortedrock100g/,1,1,1.0000,3.0
https://sweetsworld.com.au/candy/old-fashion-lollies/boiled-lolly-fish/,1,28,0.0357,5.2
https://sweetsworld.com.au/candy/old-fashion-lollies/musk-sticks-60g-bag-kanga/,1,55,0.0182,11.3
https://sweetsworld.com.au/candy/old-fashion-lollies/nestle-golden-rough/,1,249,0.0040,1.6
https://sweetsworld.com.au/candy/old-fashion-lollies/roasted-marshmallows-180g/,1,11,0.0909,3.0
https://sweetsworld.com.au/candy/old-fashion-lollies/rockcandyredbackbopeep170g/,1,2,0.5000,1.0
https://sweetsworld.com.au/candy/peppermint-peckers-mints-30g/,1,6,0.1667,9.5
https://sweetsworld.com.au/candy/pink-lady-foiled-bilby/,1,64,0.0156,7.2
https://sweetsworld.com.au/candy/rainbowtubemarshmallow150g/,1,1,1.0000,7.0
https://sweetsworld.com.au/candy/savage-gummy-bears-18/,1,5,0.2000,3.8
https://sweetsworld.com.au/candy/silky-gem-crystal-candy-sour-bites-6oz/,1,5,0.2000,2.6
https://sweetsworld.com.au/candy/sonic-surprise-egg/,1,34,0.0294,7.4
https://sweetsworld.com.au/candy/sour-lollies/easy-cheese-american-226g/,1,8,0.1250,2.8
https://sweetsworld.com.au/candy/sour-lollies/fairy-floss-50g/,1,74,0.0135,9.3
https://sweetsworld.com.au/candy/sour-lollies/fini-rainb-sour-pencil-100g/,1,3,0.3333,6.0
https://sweetsworld.com.au/candy/sour-lollies/juicy-drop-gum-22g/,1,4,0.2500,12.8
https://sweetsworld.com.au/candy/sour-lollies/lucas-muecas-mango/,1,26,0.0385,7.8
https://sweetsworld.com.au/candy/sour-lollies/nintendo-super-star-sour/,1,5,0.2000,5.6
https://sweetsworld.com.au/candy/sour-lollies/rainbow-sour-mix-1kg/,1,2,0.5000,1.5
